x0,y0,x1,y1
-0.145453,1.39438,1.50271,-0.887201
0.0545471,1.39438,1.60271,-1.06041
0.254547,1.39438,1.60271,-1.26041
0.454547,1.39438,1.60271,-1.46041
0.654547,1.39438,1.50271,-1.63361
0.854547,1.39438,1.32951,-1.73361
1.05455,1.39438,1.12951,-1.73361
1.25455,1.39438,0.956304,-1.63361
1.45455,1.39438,0.856304,-1.46041
1.65455,1.39438,0.856304,-1.26041
1.85455,1.39438,0.956304,-1.0872
2.05455,1.39438,1.12951,-0.987201
2.25455,1.39438,1.32951,-0.987201
2.45455,1.39438,1.50271,-1.0872
2.65455,1.39438,1.67592,-1.1872
2.82775,1.29438,1.77592,-1.36041
3.00096,1.19438,1.94912,-1.46041
3.17416,1.09438,2.04912,-1.63361
3.27416,0.921178,2.04912,-1.83361
3.27416,0.721178,1.94912,-2.00682
3.27416,0.521178,1.84912,-2.18002
3.17416,0.347973,1.74912,-2.35323
3.07416,0.174768,1.64912,-2.52643
2.97416,0.0015626,1.54912,-2.69964
2.80096,-0.0984374,1.44912,-2.87284
2.60096,-0.0984374,1.27592,-2.97284
2.40096,-0.0984374,1.10271,-3.07284
2.22775,0.0015626,0.902714,-3.07284
2.05455,0.101563,0.729509,-2.97284
1.88134,0.201563,0.629509,-2.79964
1.70814,0.301563,0.456304,-2.69964
1.53493,0.401563,0.283099,-2.59964
1.36173,0.501563,0.183099,-2.42643
1.26173,0.674768,0.183099,-2.22643
1.26173,0.874768,0.283099,-2.05323
1.36173,1.04797,0.456304,-1.95323
1.46173,1.22118,0.656304,-1.95323
1.56173,1.39438,0.856304,-1.95323
1.73493,1.49438,1.02951,-2.05323
1.93493,1.49438,1.20271,-2.15323
2.10814,1.39438,1.30271,-2.32643
2.28134,1.29438,1.40271,-2.49964
2.38134,1.12118,1.57592,-2.59964
2.38134,0.921178,1.67592,-2.77284
2.28134,0.747973,1.67592,-2.97284
2.18134,0.574768,1.57592,-3.14605
2.00814,0.474768,1.40271,-3.24605
1.83493,0.374768,1.30271,-3.41925
1.63493,0.374768,1.20271,-3.59246
1.46173,0.474768,1.10271,-3.76566
1.28852,0.574768,0.929509,-3.86566
1.11532,0.674768,0.729509,-3.86566
0.942112,0.774768,0.556304,-3.76566
0.842112,0.947973,0.456304,-3.59246
0.742112,1.12118,0.456304,-3.39246
0.642112,1.29438,0.456304,-3.19246
0.542112,1.46759,0.556304,-3.01925
0.442112,1.64079,0.729509,-2.91925
0.442112,1.84079,0.829509,-2.74605
0.542112,2.014,1.00271,-2.64605
0.715317,2.114,1.10271,-2.47284
0.888522,2.214,1.27592,-2.37284
1.08852,2.214,1.47592,-2.37284
1.26173,2.114,1.64912,-2.47284
1.36173,1.94079,1.74912,-2.64605
1.46173,1.76759,1.92233,-2.74605
1.56173,1.59438,2.02233,-2.91925
1.56173,1.39438,2.12233,-3.09246
1.56173,1.19438,2.12233,-3.29246
1.56173,0.994383,2.02233,-3.46566
1.56173,0.794383,1.84912,-3.56566
1.46173,0.621178,1.67592,-3.66566
1.36173,0.447973,1.47592,-3.66566
1.26173,0.274768,1.30271,-3.56566
1.08852,0.174768,1.20271,-3.39246
0.915317,0.0747677,1.20271,-3.19246
0.742112,-0.0252323,1.30271,-3.01925
0.542112,-0.0252323,1.47592,-2.91925
0.342112,-0.0252323,1.67592,-2.91925
0.168906,0.0747677,1.87592,-2.91925
-0.00429866,0.174768,2.04912,-3.01925
-0.177504,0.274768,2.14912,-3.19246
-0.350709,0.374768,2.14912,-3.39246
-0.523914,0.474768,2.04912,-3.56566
-0.623914,0.647973,1.87592,-3.66566
-0.623914,0.847973,1.67592,-3.66566
-0.623914,1.04797,1.50271,-3.56566
-0.623914,1.24797,1.32951,-3.46566
-0.623914,1.44797,1.22951,-3.29246
-0.623914,1.64797,1.22951,-3.09246
-0.523914,1.82118,1.22951,-2.89246
-0.423914,1.99438,1.32951,-2.71925
-0.250709,2.09438,1.42951,-2.54605
-0.0507088,2.09438,1.52951,-2.37284
0.122496,1.99438,1.62951,-2.19964
0.222496,1.82118,1.72951,-2.02643
0.222496,1.62118,1.90271,-1.92643
0.222496,1.42118,2.07592,-1.82643
0.122496,1.24797,2.27592,-1.82643
-0.0507088,1.14797,2.44912,-1.92643
-0.250709,1.14797,2.54912,-2.09964
-0.450709,1.14797,2.72233,-2.19964
-0.650709,1.14797,2.82233,-2.37284
-0.850709,1.14797,2.82233,-2.57284
-1.05071,1.14797,2.82233,-2.77284
-1.25071,1.14797,2.72233,-2.94605
-1.42391,1.24797,2.54912,-3.04605
-1.59712,1.34797,2.34912,-3.04605
-1.69712,1.52118,2.17592,-3.14605
-1.69712,1.72118,1.97592,-3.14605
-1.69712,1.92118,1.80271,-3.04605
-1.69712,2.12118,1.62951,-2.94605
-1.69712,2.32118,1.4563,-2.84605
-1.69712,2.52118,1.3563,-2.67284
-1.59712,2.69438,1.1831,-2.57284
-1.49712,2.86759,1.0831,-2.39964
-1.32391,2.96759,1.0831,-2.19964
-1.12391,2.96759,1.1831,-2.02643
-0.923914,2.96759,1.2831,-1.85323
-0.723914,2.96759,1.4563,-1.75323
-0.523914,2.96759,1.6563,-1.75323
-0.323914,2.96759,1.82951,-1.65323
-0.150709,2.86759,2.02951,-1.65323
-0.0507088,2.69438,2.20271,-1.75323
0.0492912,2.52118,2.30271,-1.92643
0.149291,2.34797,2.40271,-2.09964
0.249291,2.17477,2.40271,-2.29964
0.349291,2.00156,2.30271,-2.47284
0.349291,1.80156,2.12951,-2.57284
0.249291,1.62836,1.92951,-2.57284
0.0760861,1.52836,1.7563,-2.47284
-0.123914,1.52836,1.6563,-2.29964
-0.323914,1.52836,1.5563,-2.12643
-0.523914,1.52836,1.5563,-1.92643
-0.723914,1.52836,1.6563,-1.75323
-0.923914,1.52836,1.82951,-1.65323
-1.12391,1.52836,2.02951,-1.65323
-1.29712,1.62836,2.22951,-1.65323
-1.39712,1.80156,2.40271,-1.75323
-1.39712,2.00156,2.50271,-1.92643
-1.39712,2.20156,2.60271,-2.09964
-1.29712,2.37477,2.77592,-2.19964
-1.12391,2.47477,2.94912,-2.29964
-0.950709,2.57477,3.04912,-2.47284
-0.777504,2.67477,3.04912,-2.67284
-0.604299,2.77477,3.04912,-2.87284
-0.431094,2.87477,2.94912,-3.04605
-0.231094,2.87477,2.77592,-3.14605
-0.0310936,2.87477,2.60271,-3.24605
0.142112,2.77477,2.40271,-3.24605
0.315317,2.67477,2.22951,-3.14605
