x0,y0,x1,y1
-0.533017,1.73361,1.60271,-1.06041
-0.533017,1.53361,1.60271,-1.26041
-0.633017,1.36041,1.60271,-1.46041
-0.806222,1.26041,1.50271,-1.63361
-1.00622,1.26041,1.32951,-1.73361
-1.20622,1.26041,1.12951,-1.73361
-1.37943,1.36041,0.956304,-1.63361
-1.47943,1.53361,0.856304,-1.46041
-1.57943,1.70682,0.856304,-1.26041
-1.57943,1.90682,0.956304,-1.0872
-1.47943,2.08002,1.12951,-0.987201
-1.30622,2.18002,1.32951,-0.987201
-1.10622,2.18002,1.50271,-1.0872
-0.933017,2.08002,1.67592,-1.1872
-0.833017,1.90682,1.77592,-1.36041
-0.833017,1.70682,1.94912,-1.46041
-0.933017,1.53361,2.04912,-1.63361
-1.10622,1.43361,2.04912,-1.83361
-1.30622,1.43361,1.94912,-2.00682
-1.47943,1.53361,1.84912,-2.18002
-1.57943,1.70682,1.74912,-2.35323
-1.67943,1.88002,1.64912,-2.52643
-1.67943,2.08002,1.54912,-2.69964
-1.57943,2.25323,1.44912,-2.87284
-1.40622,2.35323,1.27592,-2.97284
-1.23302,2.45323,1.10271,-3.07284
-1.03302,2.45323,0.902714,-3.07284
-0.833017,2.45323,0.729509,-2.97284
-0.633017,2.45323,0.629509,-2.79964
-0.433017,2.45323,0.456304,-2.69964
-0.259812,2.35323,0.283099,-2.59964
-0.0866072,2.25323,0.183099,-2.42643
0.0133928,2.08002,0.183099,-2.22643
0.0133928,1.88002,0.283099,-2.05323
-0.0866072,1.70682,0.456304,-1.95323
-0.259812,1.60682,0.656304,-1.95323
-0.459812,1.60682,0.856304,-1.95323
-0.633017,1.70682,1.02951,-2.05323
-0.733017,1.88002,1.20271,-2.15323
-0.733017,2.08002,1.30271,-2.32643
-0.633017,2.25323,1.40271,-2.49964
-0.459812,2.35323,1.57592,-2.59964
-0.259812,2.35323,1.67592,-2.77284
-0.0866072,2.25323,1.67592,-2.97284
0.0133928,2.08002,1.57592,-3.14605
0.0133928,1.88002,1.40271,-3.24605
0.0133928,1.68002,1.30271,-3.41925
-0.0866072,1.50682,1.20271,-3.59246
-0.259812,1.40682,1.10271,-3.76566
-0.433017,1.30682,0.929509,-3.86566
-0.633017,1.30682,0.729509,-3.86566
-0.833017,1.30682,0.556304,-3.76566
-1.00622,1.40682,0.456304,-3.59246
-1.17943,1.50682,0.456304,-3.39246
-1.35263,1.60682,0.456304,-3.19246
-1.52584,1.70682,0.556304,-3.01925
-1.69904,1.80682,0.729509,-2.91925
-1.79904,1.98002,0.829509,-2.74605
-1.79904,2.18002,1.00271,-2.64605
-1.69904,2.35323,1.10271,-2.47284
-1.52584,2.45323,1.27592,-2.37284
-1.32584,2.45323,1.47592,-2.37284
-1.15263,2.35323,1.64912,-2.47284
-1.05263,2.18002,1.74912,-2.64605
-0.952633,2.00682,1.92233,-2.74605
-0.852633,1.83361,2.02233,-2.91925
-0.852633,1.63361,2.12233,-3.09246
-0.852633,1.43361,2.12233,-3.29246
-0.852633,1.23361,2.02233,-3.46566
-0.852633,1.03361,1.84912,-3.56566
-0.952633,0.860408,1.67592,-3.66566
-1.05263,0.687203,1.47592,-3.66566
-1.15263,0.513998,1.30271,-3.56566
-1.32584,0.413998,1.20271,-3.39246
-1.49904,0.313998,1.20271,-3.19246
-1.67225,0.213998,1.30271,-3.01925
-1.87225,0.213998,1.47592,-2.91925
-2.07225,0.213998,1.67592,-2.91925
-2.24545,0.313998,1.87592,-2.91925
-2.34545,0.487203,2.04912,-3.01925
-2.44545,0.660408,2.14912,-3.19246
-2.54545,0.833613,2.14912,-3.39246
-2.64545,1.00682,2.04912,-3.56566
-2.64545,1.20682,1.87592,-3.66566
-2.54545,1.38002,1.67592,-3.66566
-2.44545,1.55323,1.50271,-3.56566
-2.34545,1.72643,1.32951,-3.46566
-2.17225,1.82643,1.22951,-3.29246
-1.99904,1.92643,1.22951,-3.09246
-1.79904,1.92643,1.22951,-2.89246
-1.59904,1.92643,1.32951,-2.71925
-1.42584,1.82643,1.42951,-2.54605
-1.32584,1.65323,1.52951,-2.37284
-1.32584,1.45323,1.62951,-2.19964
-1.42584,1.28002,1.72951,-2.02643
-1.59904,1.18002,1.90271,-1.92643
-1.77225,1.08002,2.07592,-1.82643
-1.97225,1.08002,2.27592,-1.82643
-2.14545,1.18002,2.44912,-1.92643
-2.24545,1.35323,2.54912,-2.09964
-2.34545,1.52643,2.72233,-2.19964
-2.44545,1.69964,2.82233,-2.37284
-2.54545,1.87284,2.82233,-2.57284
-2.64545,2.04605,2.82233,-2.77284
-2.74545,2.21925,2.72233,-2.94605
-2.74545,2.41925,2.54912,-3.04605
-2.64545,2.59246,2.34912,-3.04605
-2.47225,2.69246,2.17592,-3.14605
-2.27225,2.69246,1.97592,-3.14605
-2.07225,2.69246,1.80271,-3.04605
-1.87225,2.69246,1.62951,-2.94605
-1.69904,2.59246,1.4563,-2.84605
-1.52584,2.49246,1.3563,-2.67284
-1.42584,2.31925,1.1831,-2.57284
-1.32584,2.14605,1.0831,-2.39964
-1.32584,1.94605,1.0831,-2.19964
-1.42584,1.77284,1.1831,-2.02643
-1.52584,1.59964,1.2831,-1.85323
-1.62584,1.42643,1.4563,-1.75323
-1.72584,1.25323,1.6563,-1.75323
-1.82584,1.08002,1.82951,-1.65323
-1.99904,0.980024,2.02951,-1.65323
